Country Name;Country Code;Indicator Name;Indicator Code;Attribute;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;Common Reference Period;
Bolivia;218;Consumer Price Index, All items;PCPI_IX;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.945;53.1266666666667;57.7516666666667;65.8408333333333;68.0441666666667;69.7475;76.6416666666667;80.1025;84.6975;89.5816666666667;93.2183333333333;96.5958333333333;99.3225;101.579166666667;2016A;
Bolivia;218;Consumer Price Index, All items;PCPI_IX;Reference Period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016A;2016A;2016A;2016A;2016A;2016A;2016A;2016A;2016A;2016A;2016A;2016A;2016A;2016A;;
Malaysia;548;Restaurants and hotels, Percentage change, Previous year;PCPIRE_PC_CP_A_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.70519209130366;6.57986514764007;2.92321116928447;2.13315706988649;5.86666666666666;2.96756926952141;2.4386514792447;4.64179104477612;4.18627870489231;2.76541857758916;2.50449610337708;1.51406849048021;;
Bolivia;218;Food and non-alcoholic beverages, Percentage change, Previous year;PCPIF_PC_CP_A_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.85470630768579;14.5775991963837;25.6088793813891;1.28147858618572;2.94814896490891;13.938387800731;3.91873472457229;8.84790646660409;8.12245491564862;4.61362566413345;5.51315608210499;3.34586727943736;2.5452279082303;;
Bolivia;218;Education, Percentage change, Previous year;PCPIED_PC_CP_A_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.08425077629789;0.897447289252218;2.85459074554009;5.73909852608405;0.793549805082872;5.43536891877933;6.39824097356019;4.77354803727992;5.7492701121928;4.3693040692145;4.71012890040962;4.87254661743707;4.74283780735394;;
Malaysia;548;Recreation and culture, Percentage change, Previous period;PCPIR_PC_PP_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.0833402783565257;0.233547418466932;0.599151202463179;-0.181983621474074;0.52190270986989;0.750125020836818;1.35671740569159;1.72216780933725;1.58067880927545;1.39165586678146;1.98366394399067;1.18502778685846;0.0888458121314799;1.61394448030988;1.7074332909784;2.53767470914342;1.89613158696317;-0.448396980793675;;
Bolivia;218;Education, Percentage change, Previous period;PCPIED_PC_PP_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.08425077629789;0.897447289252218;2.85459074554009;5.73909852608405;0.793549805082872;5.43536891877933;6.39824097356019;4.77354803727992;5.7492701121928;4.3693040692145;4.71012890040962;4.87254661743707;4.74283780735394;;
Malaysia;548;Alcoholic Beverages, Tobacco, and Narcotics;PCPIFBT_IX;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55.5082954449631;58.1583748725556;60.5772082767978;61.6039406204724;66.4138579061549;73.3582089552239;78.4566044776119;84.5025435323383;90.6951990049751;96.2215174129353;100;104.608333333333;105.025;111.283333333333;124.216666666667;141;165.241666666667;165.491666666667;165.308333333333;2010A;
Malaysia;548;Alcoholic Beverages, Tobacco, and Narcotics;PCPIFBT_IX;Reference Period;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;2010A;;
Bolivia;218;Restaurants and hotels, Percentage change, Previous year;PCPIRE_PC_CP_A_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.05848185868873;11.3907033986557;22.2739712056569;9.73656773476057;4.33625964352218;13.9785337898546;4.01384820239679;5.06027057751198;6.73789284878731;5.19562358442318;3.14971567478405;2.01661434354827;2.76712125337226;;
Albania;914;Recreation and culture;PCPIR_IX;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.4;89.0833333333333;95.3833333333333;95.5166666666667;96.5166666666667;98.1416666666667;98.7666666666667;98.9333333333333;99.5166666666667;100.914255;102.39711325;105.123697666667;2015M12;
Albania;914;Recreation and culture;PCPIR_IX;Reference Period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;;
Albania;914;Education;PCPIED_IX;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78.95;78.9666666666667;80.7833333333333;83.2166666666667;83.2916666666667;84.5916666666667;85.8416666666667;88.825;96.65;100.15841325;100.863244416667;101.517658416667;2015M12;
Albania;914;Education;PCPIED_IX;Reference Period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;;
Bolivia;218;Transport, Percentage change, Previous year;PCPIT_PC_CP_A_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.07697852963438;5.01328795225661;-0.268611323854222;0.64662608095625;0.657952937013433;9.12476517956213;3.42887056667974;4.40825781835526;3.64321139575642;2.44387277829748;3.51645843028106;1.44192437530747;1.7307981738825;;
Bolivia;218;Recreation and culture, Percentage change, Previous period;PCPIR_PC_PP_PT;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.85815904023782;2.19475793261366;2.00058016824878;0.459934687313059;1.49843811011326;3.75763404664582;2.25431489961253;1.47669380133075;2.34851665579804;1.24986907795972;-0.313782283369548;1.7052922864061;1.17079889807162;;
Albania;914;Health;PCPIM_IX;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.65;88.5666666666667;90.1083333333333;97.7083333333333;105.3;108.208333333333;107.791666666667;102.983333333333;101.05;100.100826333333;100.160173666667;99.9200840833333;2015M12;
Albania;914;Health;PCPIM_IX;Reference Period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;2015M12;;
Bolivia;218;Miscellaneous goods and services;PCPIO_IX;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63.4016666666667;64.6208333333333;66.0091666666667;70.43;73.9708333333333;75.6733333333333;81.8683333333333;86.4583333333333;89.82;92.9891666666667;95.6808333333333;97.19;98.4033333333334;99.845;2016A;
Bolivia;218;Miscellaneous goods and services;PCPIO_IX;Reference Period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2016A;2016A;2016A;2016A;2016A;2016A;2016A;2016A;2016A;2016A;2016A;2016A;2016A;2016A;;
Albania;914;Transport;PCPIT_IX;Value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83.95;90.3333333333333;88.4583333333333;92.5833333333333;98.0833333333333;102.358333333333;102.325;103.116666666667;101.066666666667;98.13774375;100.0253075;102.470527083333;2015M12;
